"","date","code","year","month","week","PM2.5","c_AOD","TEMP","AP","RH","elevation","WS","a_buffer10"
"45","12/03/2015","1001A","2015","3","4",66.35714286,0.537401008,4.539476907,999.9214092,27.24658963,45,1.804342302,65
"46","13/03/2015","1001A","2015","3","5",66.95833333,0.365785086,4.496258479,1004.766654,32.43993759,45,1.949222056,65
"47","14/03/2015","1001A","2015","3","6",95.41666667,1.114110328,4.7740791,1003.740074,43.62733907,45,1.945100287,65
"48","15/03/2015","1001A","2015","3","0",108.6086957,0.580304989,8.501039538,1000.459985,29.28204011,45,2.179522209,65
"49","16/03/2015","1001A","2015","3","1",215.3043478,1.745696833,10.66731394,995.0334,53.43484316,45,1.544707068,65
"50","17/03/2015","1001A","2015","3","2",209,1.391489551,10.12721655,1002.355397,47.67167909,45,2.342560437,65
"51","20/03/2015","1001A","2015","3","5",41.95833333,0.717996833,12.13016246,1001.218705,21.96509013,45,1.946972213,65
"52","21/03/2015","1001A","2015","3","6",16.39130435,0.296939163,13.39901143,1001.823295,11.30705936,45,3.120842648,65
"53","22/03/2015","1001A","2015","3","0",20.75,0.40070693,8.726618787,1010.646297,17.53421628,45,3.005983248,65
"54","23/03/2015","1001A","2015","3","1",37.54166667,0.298934697,8.260339286,1012.408778,24.56808665,45,1.720805467,65
"55","24/03/2015","1001A","2015","3","2",76.43478261,0.602255862,8.678866814,1014.062529,31.13868466,45,2.463582221,65
"56","25/03/2015","1001A","2015","3","3",121.5,1.104132658,10.00588383,1013.523731,44.09419921,45,1.923504554,65
"57","26/03/2015","1001A","2015","3","4",99.79166667,0.959456445,12.64834881,1012.10906,38.30327952,45,2.376389314,65
"58","27/03/2015","1001A","2015","3","5",98.5,1.361556542,13.10755177,1004.366551,39.24418457,45,2.341116954,65
"59","28/03/2015","1001A","2015","3","6",54.71428571,1.088168387,16.42499673,997.0707877,36.7521336,45,3.192519354,65
"60","2/04/2015","1001A","2015","4","4",34.66666667,0.23507761,7.131798125,986.9406641,77.74394568,45,2.243135118,96
"61","4/04/2015","1001A","2015","4","6",63.16666667,1.379516348,10.94887836,995.9359446,58.77777125,45,1.601941541,96
"62","7/04/2015","1001A","2015","4","2",25.41666667,0.415673435,6.926345265,1014.293562,31.56622227,45,2.088413653,96
"63","8/04/2015","1001A","2015","4","3",105.0454545,1.266768678,7.74197717,1007.646315,47.91440456,45,2.267897398,96
"64","10/04/2015","1001A","2015","4","5",167.0952381,1.089166154,12.87434055,1002.651768,54.23396208,45,1.927348838,96
"65","13/04/2015","1001A","2015","4","1",19.9375,0.659128581,10.12812618,1008.504108,46.57510095,45,2.801300278,96
"66","14/04/2015","1001A","2015","4","2",60.21052632,0.482523824,15.07227844,992.5981818,42.13658907,45,1.936793875,96
"67","16/04/2015","1001A","2015","4","4",53.78571429,0.447601979,15.33602035,995.2984315,13.3844413,45,4.369797711,96
"68","17/04/2015","1001A","2015","4","5",65.73913043,0.411427213,16.0839962,992.7203748,30.58026859,45,2.191346583,96
"69","20/04/2015","1001A","2015","4","1",68.77272727,0.598764842,14.35165534,998.4742063,44.32010264,45,1.965363454,96
"70","22/04/2015","1001A","2015","4","3",39.57142857,0.517749938,17.33106757,1000.843076,34.82851251,45,2.307773056,96
"71","23/04/2015","1001A","2015","4","4",63.91666667,0.513305887,19.93780276,998.4315853,34.67560151,45,2.39214633,96
"72","24/04/2015","1001A","2015","4","5",46.23809524,0.400041005,17.93924913,1004.456878,31.60796799,45,1.946548118,96
"73","25/04/2015","1001A","2015","4","6",84.25,0.588014821,21.12236499,998.6898577,34.81520472,45,2.03809204,96
"74","26/04/2015","1001A","2015","4","0",100.9090909,0.827751202,23.05839895,993.9251223,42.57828257,45,2.580115295,96
"75","29/04/2015","1001A","2015","4","3",108.6666667,1.539986867,20.22789311,996.7210364,65.19579122,45,1.911435591,96
"76","30/04/2015","1001A","2015","4","4",100.5454545,1.286809634,22.33617273,994.5790709,61.60149853,45,2.260540654,96
"77","2/05/2015","1001A","2015","5","6",38.2173913,0.784847222,17.91630118,994.0532379,72.92965422,45,1.724605265,106
"78","3/05/2015","1001A","2015","5","0",37.40909091,0.378756057,18.22004061,997.3530705,34.9134486,45,3.273235401,106
"79","4/05/2015","1001A","2015","5","1",30.70833333,0.231086542,17.29384536,998.8407397,22.21992283,45,2.983477221,106
"80","5/05/2015","1001A","2015","5","2",46.05263158,0.687066057,18.85149263,989.2591989,37.33081989,45,1.94039105,106
"81","8/05/2015","1001A","2015","5","5",60.92307692,1.001516715,17.65972958,993.2548383,51.11095885,45,2.051890981,106
"82","13/05/2015","1001A","2015","5","3",49.63636364,0.879635086,21.42066342,978.6730247,45.7360284,45,1.987259116,106
"83","15/05/2015","1001A","2015","5","5",23.36363636,0.539830177,20.0670516,998.0727576,34.80008676,45,2.459103257,106
"84","16/05/2015","1001A","2015","5","6",49.13636364,0.607656649,20.45981939,993.8857621,40.33460273,45,2.153273815,106
"85","18/05/2015","1001A","2015","5","1",59.72727273,0.51950737,21.97587564,985.4870495,41.06380291,45,3.104185101,106
"86","19/05/2015","1001A","2015","5","2",9.173913043,0.218115571,21.01535067,991.7721594,19.91570398,45,3.603134971,106
"87","20/05/2015","1001A","2015","5","3",12.4,0.382747125,21.99294861,999.0696775,28.96638957,45,2.819942054,106
"88","22/05/2015","1001A","2015","5","5",46.73333333,0.544385377,21.67663367,993.3536922,43.1393436,45,1.749134177,106
"89","23/05/2015","1001A","2015","5","6",94.60869565,0.856686445,23.50020571,992.0893416,48.14330769,45,1.739299788,106
"90","24/05/2015","1001A","2015","5","0",109.6086957,0.833524208,24.79874698,990.6647323,47.23696084,45,1.960796211,106
"91","25/05/2015","1001A","2015","5","1",93,1.140152903,26.00138123,989.7597533,44.72608278,45,2.162945293,106
"92","26/05/2015","1001A","2015","5","2",96.5625,0.963796583,26.98380341,989.8559938,44.31569189,45,2.522250584,106
"93","27/05/2015","1001A","2015","5","3",70,1.403643598,25.23557755,988.8654635,50.78975865,45,1.954123303,106
"94","30/05/2015","1001A","2015","5","6",58.22727273,0.803488761,23.37371898,991.2177005,50.31404742,45,1.97501391,106
"95","31/05/2015","1001A","2015","5","0",54.33333333,0.856391684,26.0800157,985.258175,48.47659881,45,2.337909347,106
"96","2/06/2015","1001A","2015","6","2",29.30434783,0.321883338,26.08170677,992.1940231,30.88929393,45,3.338750819,119
"97","5/06/2015","1001A","2015","6","5",46.36363636,0.181198193,22.65379271,982.5346036,61.17194706,45,1.799902246,119
"98","6/06/2015","1001A","2015","6","6",31.8,0.839724406,23.30949335,985.7026282,55.58127836,45,2.493014226,119
"99","8/06/2015","1001A","2015","6","1",17.75,0.345490614,21.68667249,988.9722262,53.78234975,45,1.671495197,119
"100","9/06/2015","1001A","2015","6","2",51.73684211,1.194929454,23.76031262,985.4318909,53.13271736,45,2.284158662,119
"101","14/06/2015","1001A","2015","6","0",19.60869565,0.322881105,24.4419272,992.3170499,55.95360756,45,1.760014426,119
"102","15/06/2015","1001A","2015","6","1",85.05,1.306679357,25.29752899,990.8853057,56.15980132,45,1.778000116,119
"103","16/06/2015","1001A","2015","6","2",105.5789474,1.234063401,25.73409085,987.9737702,55.62134633,45,1.777765173,119
"104","18/06/2015","1001A","2015","6","4",19.38888889,0.233082076,26.02294205,990.4233519,38.25212198,45,2.218429998,119
"105","20/06/2015","1001A","2015","6","6",25.4375,0.410934665,23.74710482,995.5276421,54.36393423,45,1.545838894,119
"106","22/06/2015","1001A","2015","6","1",88.30434783,1.753678969,25.28204668,989.7122957,54.44061527,45,1.788982123,119
"107","30/06/2015","1001A","2015","6","2",12.95238095,0.171220523,21.4991385,987.3340361,64.99327994,45,2.164999189,119
"108","2/07/2015","1001A","2015","7","4",7.375,0.244057513,25.24942415,986.6230749,42.35582367,45,2.056390734,141
"109","3/07/2015","1001A","2015","7","5",27.35,0.572647304,24.87841667,991.8548424,41.71132559,45,2.303224569,141
"110","5/07/2015","1001A","2015","7","0",62.29166667,1.749567147,22.95381743,993.7296771,63.0324857,45,1.899853767,141
"111","6/07/2015","1001A","2015","7","1",61.21052632,2.20067858,24.65209962,994.233734,59.61422283,45,1.86516921,141
"112","7/07/2015","1001A","2015","7","2",60.75,1.149915974,26.17372573,992.9491484,56.88206077,45,1.773089973,141
"113","8/07/2015","1001A","2015","7","3",119.2173913,2.314424017,26.96374727,994.0515582,59.18290207,45,1.956295364,141
"114","9/07/2015","1001A","2015","7","4",66,1.467249979,27.39407982,996.272938,52.27339682,45,2.075372377,141
"115","10/07/2015","1001A","2015","7","5",51.70833333,2.29047761,27.42549389,994.5683611,54.89933747,45,2.04453535,141
"116","12/07/2015","1001A","2015","7","0",113.5416667,1.131468218,29.67851497,984.4462069,55.75234094,45,1.35254859,141
"117","13/07/2015","1001A","2015","7","1",49.86956522,0.442613144,31.0475573,982.1449722,47.17644117,45,1.481207713,141
"118","23/07/2015","1001A","2015","7","4",35.71428571,0.891298395,25.5587825,988.0376193,75.65351802,45,1.110894726,141
"119","24/07/2015","1001A","2015","7","5",54.27777778,0.756909746,25.84879273,985.8279937,70.98232929,45,1.526848275,141
"120","25/07/2015","1001A","2015","7","6",89.5,0.85252606,26.70695365,985.1203315,71.68603485,45,1.41222705,141
"121","2/08/2015","1001A","2015","8","0",72.25,1.176969649,25.64493819,986.840428,86.34749317,45,1.042994107,127
"122","4/08/2015","1001A","2015","8","2",17.77272727,0.129314309,24.70061363,985.8380694,66.17682872,45,1.741798155,127
"123","6/08/2015","1001A","2015","8","4",56.75,2.45068316,25.06604618,990.683123,74.63968992,45,1.25249769,127
"124","8/08/2015","1001A","2015","8","6",42,0.921541299,24.25711136,996.9898975,78.2844671,45,1.440968595,127
"125","9/08/2015","1001A","2015","8","0",59.16666667,0.735956639,26.68961653,994.8998223,74.71135908,45,1.157968636,127
"126","10/08/2015","1001A","2015","8","1",45.5,0.180200426,27.91165124,993.7887566,65.11898941,45,1.270565797,127
"127","11/08/2015","1001A","2015","8","2",100.0869565,1.156016542,27.8018647,992.8384293,68.1601461,45,1.298207806,127
"128","12/08/2015","1001A","2015","8","3",85.17391304,0.654042857,28.09373653,990.7915048,67.06668827,45,1.863206708,127
"129","13/08/2015","1001A","2015","8","4",109.0434783,1.189289131,28.37086202,988.2568813,65.41317153,45,1.793008806,127
